Label,Centroid
URI,https://opengeometadata.org/ogm-aardvark/#centroid
Field Name,dcat_centroid
Field Type,String
Obligation,Optional
Multivalued,False
Purpose,To display the centerpoint of a resource.
Entry Guidelines,"Enter two decimal degree coordinates separated by a comma in this order: latitude, longitude."
Commentary,This field is currently only supported by customizations to the GeoBlacklight application.
Controlled Vocabulary,No
Example Value,"""46.4218,-94.087"""
Element Set,DCAT
Group,[Spatial](../spatial-fields)
