Label,Publisher
URI,https://opengeometadata.org/ogm-aardvark/#publisher
Field Name,dct_publisher_sm
Field Type,Array of strings
Obligation,Suggested - helpful for generating citations
Multivalued,True
Purpose,To credit the entity that made a resource available for the first time.
Entry Guidelines,The suggested controlled vocabulary is the [Library of Congress Name Authority File](https://id.loc.gov/authorities/names.html).
Commentary,"The distinction between Publisher and [Creator](../ogm-aardvark/#creator) for data is often vague. Publishers should be the administrative body or organization that made the original resource available, regardless of who compiled or produced the data."
Controlled Vocabulary,No
Example Value,"[""ML InfoMap (Firm)""]"
Element Set,DCMI
Group,Credits
